analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,33109300635.066936,+10%,HC,11.979277931507866,0.4501052162229071,358212818280251.1,14902668921.336039,31074961.98581179,0,33109300635.066936
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,30477697422.64285,+10%,HC,11.979277931507866,0.4501052162229071,329741241253964.4,13718170588.394999,28557240.198799584,1,30477697422.64285
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,28185202148.409668,+10%,HC,11.979277931507866,0.4501052162229071,304938506755626.2,12686306507.29628,26364983.29409144,2,28185202148.409668
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,25552908441.097202,+10%,HC,11.979277931507866,0.4501052162229071,276459459196430.8,11501497379.004204,23862598.220539927,3,25552908441.097202
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,23209321502.5532,+10%,HC,11.979277931507866,0.4501052162229071,251103958897777.75,10446636673.293674,21637628.13822151,4,23209321502.5532
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,21105216312.634315,+10%,HC,11.979277931507866,0.4501052162229071,228339435468350.06,9499567951.829494,19642899.936164815,5,21105216312.634315
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,19077526797.3773,+10%,HC,11.979277931507866,0.4501052162229071,206401660827219.72,8586894324.131814,17725774.63184163,6,19077526797.3773
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,17207367287.708885,+10%,HC,11.979277931507866,0.4501052162229071,186168218992377.38,7745125773.661186,15961132.255311476,7,17207367287.708885
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,15474019222.587013,+10%,HC,11.979277931507866,0.4501052162229071,167414953790203.16,6964936768.019949,14329045.894903488,8,15474019222.587013
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,13963884501.032288,+10%,HC,11.979277931507866,0.4501052162229071,151076655964061.62,6285217252.648839,12908744.868849248,9,13963884501.032288
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,12509112737.370775,+10%,HC,11.979277931507866,0.4501052162229071,135337335488539.64,5630416893.410995,11544274.71717243,10,12509112737.370775
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,11409998418.080835,+10%,HC,11.979277931507866,0.4501052162229071,123445908295177.75,5135699805.073302,10529812.531670367,11,11409998418.080835
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,10231886406.363771,+10%,HC,11.979277931507866,0.4501052162229071,110699797206379.38,4605425443.304589,9442471.302109748,12,10231886406.363771
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,9174149660.965446,+10%,HC,11.979277931507866,0.4501052162229071,99256038102436.94,4129332616.810162,8466242.282023564,13,9174149660.965446
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,8270743839.401102,+10%,HC,11.979277931507866,0.4501052162229071,89482000620938.34,3722704944.15791,7632456.724963557,14,8270743839.401102
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,7428540196.45626,+10%,HC,11.979277931507866,0.4501052162229071,80370115600158.4,3343624691.346502,6855169.010115511,15,7428540196.45626
