analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4315450.323787816,BAU,HC,0.4539338595140114,26.497135616076594,1232126503656.985,114347072.4738474,143234.7060501245,0,4315450.323787816
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4055728.313804298,BAU,HC,0.4539338595140114,26.497135616076594,1157971931579.123,107465183.15283413,132606.31371671485,1,4055728.313804298
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3788115.217077292,BAU,HC,0.4539338595140114,26.497135616076594,1081564334581.5409,100374202.63622044,121980.98878277534,2,3788115.217077292
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3446159.788174522,BAU,HC,0.4539338595140114,26.497135616076594,983930874477.0398,91313363.26193011,109263.55574892632,3,3446159.788174522
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3111520.0910680224,BAU,HC,0.4539338595140114,26.497135616076594,888386166730.5819,82446369.82517639,97113.04542998683,4,3111520.0910680224
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2830275.4663752224,BAU,HC,0.4539338595140114,26.497135616076594,808086561800.6146,74994192.8633987,86933.95231851013,5,2830275.4663752224
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2560515.9140999075,BAU,HC,0.4539338595140114,26.497135616076594,731066119196.7665,67846337.42302758,77380.42445250096,6,2560515.9140999075
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2315672.265465598,BAU,HC,0.4539338595140114,26.497135616076594,661159544888.2902,61358682.060429275,68834.64253740966,7,2315672.265465598
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2093538.669788317,BAU,HC,0.4539338595140114,26.497135616076594,597737035057.0636,55472778.05088163,61195.12217507206,8,2093538.669788317
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1898068.5176391082,BAU,HC,0.4539338595140114,26.497135616076594,541927342657.3359,50293378.920488924,54541.73547440491,9,1898068.5176391082
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1720520.7173943773,BAU,HC,0.4539338595140114,26.497135616076594,491234753487.2873,45588870.77906821,48588.02946742759,10,1720520.7173943773
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1555607.021975793,BAU,HC,0.4539338595140114,26.497135616076594,444149392819.0865,41219130.226613626,43758.042329929216,11,1555607.021975793
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1398477.5387059709,BAU,HC,0.4539338595140114,26.497135616076594,399286542753.2462,37055648.99912912,39182.78701346156,12,1398477.5387059709
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1250525.9146552307,BAU,HC,0.4539338595140114,26.497135616076594,357044110660.54987,33135354.75203787,34898.562508294126,13,1250525.9146552307
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1112609.1632758605,BAU,HC,0.4539338595140114,26.497135616076594,317666786876.72766,29480955.887009982,30926.132369596944,14,1112609.1632758605
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,983920.2228084326,BAU,HC,0.4539338595140114,26.497135616076594,280924143031.7907,26071067.57915534,27239.809529077585,15,983920.2228084326
2036,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,863135.6080884051,BAU,HC,0.4539338595140114,26.497135616076594,246438304042.9369,22870621.262583207,23800.025651250675,16,863135.6080884051
2037,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,752617.0804099542,BAU,HC,0.4539338595140114,26.497135616076594,214883588571.61063,0.0,20669.007733937513,17,0.0
2038,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,653878.994855302,BAU,HC,0.4539338595140114,26.497135616076594,186692367956.3181,0.0,17884.75546547936,18,0.0
2039,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,565448.7137990668,BAU,HC,0.4539338595140114,26.497135616076594,161444181825.0529,0.0,15403.227943746471,19,0.0
2040,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,527565.5709785558,BAU,HC,0.4539338595140114,26.497135616076594,150627970118.55252,0.0,14312.66972066486,20,0.0
2041,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,492477.0851554633,BAU,HC,0.4539338595140114,26.497135616076594,140609675360.8742,0.0,13360.731352790268,21,0.0
2042,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,460224.98630966106,BAU,HC,0.4539338595140114,26.497135616076594,131401212094.03307,0.0,12485.743173175022,22,0.0
2043,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,430325.12619344983,BAU,HC,0.4539338595140114,26.497135616076594,122864348652.05415,0.0,11674.570408918185,23,0.0
2044,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,402312.8280116899,BAU,HC,0.4539338595140114,26.497135616076594,114866412763.9186,0.0,10914.606540827544,24,0.0
2045,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,377018.19106913114,BAU,HC,0.4539338595140114,26.497135616076594,107644410368.12874,0.0,10228.371873179593,25,0.0
2046,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,354425.56559356936,BAU,HC,0.4539338595140114,26.497135616076594,101193873217.419,0.0,9615.441833119154,26,0.0
2047,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,334135.48722870933,BAU,HC,0.4539338595140114,26.497135616076594,95400748180.8926,0.0,9064.979092148415,27,0.0
2048,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,316566.0462660015,BAU,HC,0.4539338595140114,26.497135616076594,90384406376.36266,0.0,8588.326293881979,28,0.0
2049,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,302083.9323002747,BAU,HC,0.4539338595140114,26.497135616076594,86249543243.35576,0.0,8195.431598983665,29,0.0
2050,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,290387.3311860507,BAU,HC,0.4539338595140114,26.497135616076594,82909986266.85706,0.0,7878.106895076758,30,0.0
2051,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,278702.1033778742,BAU,HC,0.4539338595140114,26.497135616076594,79573676541.69109,0.0,7561.090744991487,31,0.0
2052,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,268790.5746233689,BAU,HC,0.4539338595140114,26.497135616076594,76743784791.3754,0.0,7292.1944308764905,32,0.0
