analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,33109300635.066936,+10%,BAU,11.979277931507866,0.4501052162229071,358212818280251.1,14902668921.336039,31074961.98581179,0,33109300635.066936
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,30477697422.64285,+10%,BAU,11.979277931507866,0.4501052162229071,329741241253964.4,13718170588.394999,28557240.198799584,1,30477697422.64285
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,28185202148.409668,+10%,BAU,11.979277931507866,0.4501052162229071,304938506755626.2,12686306507.29628,26364983.29409144,2,28185202148.409668
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,25551164850.04127,+10%,BAU,11.979277931507866,0.4501052162229071,276440595111291.78,11500712579.57497,23860969.96703115,3,25551164850.04127
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,23236564515.76209,+10%,BAU,11.979277931507866,0.4501052162229071,251398703768639.44,10458898895.644627,21663026.303743664,4,23236564515.76209
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,21157221917.03107,+10%,BAU,11.979277931507866,0.4501052162229071,228902089277400.9,9522975945.6413,19691302.230088413,5,21157221917.03107
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,19149779277.448093,+10%,BAU,11.979277931507866,0.4501052162229071,207183367598956.4,8619415542.29672,17792907.609398376,6,19149779277.448093
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,17308051573.194805,+10%,BAU,11.979277931507866,0.4501052162229071,187257532296151.78,7790444295.750075,16054524.531410575,7,17308051573.194805
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,15612831508.617546,+10%,BAU,11.979277931507866,0.4501052162229071,168916777725990.47,7027416902.038117,14457587.005567525,8,15612831508.617546
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,14145740977.560644,+10%,BAU,11.979277931507866,0.4501052162229071,153044179280176.12,6367071801.338171,13076859.89859465,9,14145740977.560644
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,12732926783.472767,+10%,BAU,11.979277931507866,0.4501052162229071,137758801925072.8,5731156763.0254545,11750825.80420871,10,12732926783.472767
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,11669767482.540493,+10%,BAU,11.979277931507866,0.4501052162229071,126256375653209.58,5252623215.999939,10769542.586843124,11,11669767482.540493
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,10434600700.456509,+10%,BAU,11.979277931507866,0.4501052162229071,112892983326286.2,4696668204.478675,9629545.69176556,12,10434600700.456509
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,9267896386.128653,+10%,BAU,11.979277931507866,0.4501052162229071,100270293250722.66,4171528506.8099365,8552755.20340689,13,9267896386.128653
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,8310294191.536847,+10%,BAU,11.979277931507866,0.4501052162229071,89909899816354.03,3740506763.9576616,7668954.814735733,14,8310294191.536847
