analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,33188232548.2089,BAU,BAU,12.202539642326816,0.4467525358441592,352497185462158.3,14826927051.097988,30579130.838842236,0,33188232548.2089
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,31182382611.074207,BAU,BAU,12.202539642326816,0.4467525358441592,331192753047073.75,13930808505.160215,28682948.377641823,1,31182382611.074207
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,29492237949.67876,BAU,BAU,12.202539642326816,0.4467525358441592,313241473619934.1,13175732091.738333,27082857.809179507,2,29492237949.67876
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,26998935284.954178,BAU,BAU,12.202539642326816,0.4467525358441592,286759732823883.7,12061842803.645626,24751666.338693522,3,26998935284.954178
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,24634762829.376396,BAU,BAU,12.202539642326816,0.4467525358441592,261649503307208.1,11005642763.943338,22546337.699982125,4,24634762829.376396
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,22450852182.246655,BAU,BAU,12.202539642326816,0.4467525358441592,238453861439391.28,10029975144.281069,20512993.430323634,5,22450852182.246655
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,20341197742.88354,BAU,BAU,12.202539642326816,0.4467525358441592,216046905868827.8,9087481673.74071,18554108.27601493,6,20341197742.88354
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,18396358456.553288,BAU,BAU,12.202539642326816,0.4467525358441592,195390476707924.97,8218619790.763324,16751802.520553948,7,18396358456.553288
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,16579964113.263823,BAU,BAU,12.202539642326816,0.4467525358441592,176098280512515.47,7407141011.805769,15072251.829066198,8,16579964113.263823
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,14987159526.275013,BAU,BAU,12.202539642326816,0.4467525358441592,159180864585373.2,6695551523.46431,13601208.974497214,9,14987159526.275013
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,13426508262.247261,BAU,BAU,12.202539642326816,0.4467525358441592,142604953914064.16,5998326613.691519,12164202.568869673,10,13426508262.247261
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,12090334061.719988,BAU,BAU,12.202539642326816,0.4467525358441592,128413247733602.53,5401387401.276418,10953521.618428562,11,12090334061.719988
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,10694880628.403643,BAU,BAU,12.202539642326816,0.4467525358441592,113591927948856.61,4777965041.289902,9689164.27018157,12,10694880628.403643
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,9446558141.471512,BAU,BAU,12.202539642326816,0.4467525358441592,100333307968009.05,4220273804.7016854,8558130.169747267,13,9446558141.471512
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,8443258809.607726,BAU,BAU,12.202539642326816,0.4467525358441592,89677115591861.11,3772047283.9807887,7649099.251523385,14,8443258809.607726
